pdb_id,uniprot_id,protein_family,enzyme_number
2NUW,Q4JC35,Belongs to the DapA family. KDPG aldolase subfamily,4.1.2.55
5O3U,R4P353,Belongs to the peptidase S9A family,3.4.21.-
5O3U,F6LNM3,,
3UN5,Q818Z9,Belongs to the phosphopentomutase family,5.4.2.7
3H7O,Q6VPT6,Belongs to the peptidase S1 family,
1LBU,P00733,Belongs to the peptidase M15 family,3.4.17.14
3AGX,P25685,,
6QIY,P01053,Belongs to the protease inhibitor I13 (potato type I serine protease inhibitor) family,
5ZMU,F1LJ99,,
4OH7,C0RH19,Belongs to the aspartate/ornithine carbamoyltransferase superfamily. OTCase family,2.1.3.3
3LWH,Q97ZE3,Belongs to the Cren7 family,
4QUT,Q6PL18,Belongs to the AAA ATPase family,3.6.1.-
4QUT,P62805,Belongs to the histone H4 family,
3V2I,Q2T1B9,Belongs to the PTH family,3.1.1.29
5LYG,O00481,Belongs to the immunoglobulin superfamily. BTN/MOG family,
2JDF,P07316,Belongs to the beta/gamma-crystallin family,
3OBR,P19321,Belongs to the peptidase M27 family,
5ZFG,A9XI30,Belongs to the GST superfamily,
3O8B,Q99AU2,Belongs to the hepacivirus polyprotein family,
3FP6,P00763,Belongs to the peptidase S1 family,3.4.21.4
3FP6,P00974,,
4XHM,O28984,,
199L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
7DIT,Q9NLB2,Belongs to the glutaredoxin family,
3I10,Q8A2Z3,,
3MX7,Q9NVQ4,Belongs to the FAIM1 family,
1DLW,P15160,Belongs to the truncated hemoglobin family. Group I subfamily,
3OPL,P0AD64,Belongs to the class-A beta-lactamase family,3.5.2.6
4BWU,P80401,,
5DNA,A0A0A1EQY0,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family. FDH subfamily,1.17.1.9
1IU5,P24297,Belongs to the rubredoxin family,
5Z35,C6XF58,Belongs to the bacterial solute-binding protein 9 family,
5RPI,P06873,Belongs to the peptidase S8 family,3.4.21.64
6WNU,U5CJP3,Belongs to the glycosyl hydrolase 13 family,3.2.1.1
3KTC,Q6D5T7,Belongs to the xylose isomerase family,5.3.1.36
6A0K,D2YYE1,,
5KVB,A0A0J7XEF9,,
1C1H,P32396,Belongs to the ferrochelatase family,4.99.1.9
1GCG,P23905,Belongs to the bacterial solute-binding protein 2 family,
4S3I,O25242,Belongs to the beta sliding clamp family,
3GEF,P02545,Belongs to the intermediate filament family,
2CO7,Q8ZRK4,,
2CO7,Q8ZRK3,Belongs to the periplasmic pilus chaperone family,
6H8L,O34798,,3.5.1.-
2Z9K,P0C6X7,Belongs to the coronaviruses polyprotein 1ab family,
1QKZ,P19909,,
1QKZ,P57041,Belongs to the Gram-negative porin family,
2JB0,Q03708,Belongs to the colicins ColE2/ColE8/ColE9 and pyocins S1/S2 family,
2JB0,Q47112,Belongs to the colicin/pyosin nuclease family,3.1.-.-
1GQA,P00148,,
7OI4,O35904,Belongs to the PI3/PI4-kinase family,2.7.1.137; 2.7.1.153
2D3K,O74017,Belongs to the PTH2 family,3.1.1.29
6FQ3,E7FAM5,Belongs to the TRIM/RBCC family,2.3.2.27
6HIH,G1UBD5,,
3P9X,Q9KF54,Belongs to the GART family,2.1.2.2
5QMD,P0AEG4,Belongs to the thioredoxin family. DsbA subfamily,
6MY4,V9HW68,,
6MY4,Q7Z3Y4,,
4E69,Q2CIP5,Belongs to the carbohydrate kinase PfkB family,
4HUC,O53223,,2.3.2.-
1P0K,P50740,Belongs to the IPP isomerase type 2 family,5.3.3.2
2DYO,Q12380,Belongs to the ATG5 family,
2DYO,Q03818,Belongs to the ATG16 family,
6J5Y,Q9I111,,
4Y8E,Q9HXH7,,3.1.4.52
4C9S,V9P0A9,,
1GV9,Q62902,,
3GX8,Q02784,Belongs to the glutaredoxin family. Monothiol subfamily,
1INN,Q9RRU8,Belongs to the LuxS family,4.4.1.21
3TRC,Q83BF9,Belongs to the PEP-utilizing enzyme family,2.7.3.9
4YPO,P9WKJ7,Belongs to the ketol-acid reductoisomerase family,1.1.1.86
4C2E,O35002,Belongs to the peptidase S41A family,3.4.21.102
5H0Q,A0A1D5B380,,
4GYL,Q9L543,Belongs to the carbon-nitrogen hydrolase superfamily. Aliphatic amidase family,3.5.1.4
5LBP,Q8EP31,,
4CJO,P00138,,
5JX5,A0A076U926,Belongs to the glycosyl hydrolase family 6,3.2.1.-
1ZIZ,P16442,Belongs to the glycosyltransferase 6 family,
3ALU,Q7M4F9,,
3M70,P45134,Belongs to the TehB family,2.1.1.-
3FG9,F9ULL0,Belongs to the universal stress protein A family,
3HTV,P32718,Belongs to the ROK (NagC/XylR) family,2.7.1.55
5D4H,P38501,Belongs to the multicopper oxidase family,1.7.2.1
3VAV,Q2SYZ1,Belongs to the PanB family,2.1.2.11
2JIC,F8W669,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
6FJL,E0SCP7,,
8RA6,P68082,Belongs to the globin family,
5E57,A0R089,,
1W66,P9WK83,Belongs to the LipB family,2.3.1.181
4FVG,P54116,Belongs to the band 7/mec-2 family,
5KTS,O57767,Belongs to the quinolinate synthase family. Type 2 subfamily,2.5.1.72
6TZN,O13795,Belongs to the LARP7 family,
6TEF,P75898,Belongs to the NtaA/SnaA/DszA monooxygenase family. RutA subfamily,1.14.99.46
6IXX,D0VMS8,Belongs to the peptidase M10B family,
6IXX,G3MEU6,,
3KKF,Q8A7Y0,,
1YFU,Q1LCS4,Belongs to the 3-HAO family,1.13.11.6
1GOR,P23360,Belongs to the glycosyl hydrolase 10 (cellulase F) family,3.2.1.8
3ED4,A0A0H2V4H2,Belongs to the sulfatase family,
5Z82,A0A0M3PNA2,Belongs to the AB hydrolase superfamily,
3GQQ,Q13432,Belongs to the PDE6D/unc-119 family,
5C1C,G3YAL0,Belongs to the pectinesterase family,3.1.1.11
1H87,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1U2B,O08967,,
2Z0N,Q9UKG1,,
4PBD,Q6PI26,Belongs to the SHQ1 family,
1X2T,Q7LZ71,Belongs to the snaclec family,
1X2T,P23807,Belongs to the snaclec family,
5M9V,P03950,Belongs to the pancreatic ribonuclease family,3.1.27.-
4WJE,A2FT29,Belongs to the triosephosphate isomerase family,5.3.1.1
5D22,P28773,Belongs to the GM-CSF family,
5JQN,C6K3Z5,,
1QPW,P01965,Belongs to the globin family,
1QPW,P02067,Belongs to the globin family,
6O0B,C1DGZ6,Belongs to the NifH/BchL/ChlL family,1.18.6.1
6SWI,B3EYL7,,
5QYO,P33334,,
5QYO,P32357,Belongs to the AAR2 family,
6VBS,P0CW86,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
1I4U,P80029,Belongs to the calycin superfamily. Lipocalin family,
5P2Z,P11838,Belongs to the peptidase A1 family,3.4.23.22
3T8J,Q97ZS5,,
107L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3I6T,Q28SI7,Belongs to the mandelate racemase/muconate lactonizing enzyme family,
3MHS,P50102,Belongs to the peptidase C19 family. UBP8 subfamily,3.4.19.12
3MHS,Q6WNK7,Belongs to the ENY2 family,
3MHS,Q03067,Belongs to the SGF11 family,
3MHS,P0CG48,Belongs to the ubiquitin family,
3MHS,P53165,Belongs to the ataxin-7 family,
5XLH,P21852,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.2.1
5XLH,P21853,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.2.1
3DV7,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
5MJR,Q8DJT8,Belongs to the THF1 family,
6TX8,Q13451,,5.2.1.8
3U99,A3CZ62,,
6DYJ,P0ABE7,Belongs to the cytochrome b562 family,
4RTY,P00523,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
2R3B,Q833Y3,Belongs to the NnrD/CARKD family,4.2.1.136
2IK6,P00817,Belongs to the PPase family,3.6.1.1
6N4K,P00459,Belongs to the NifH/BchL/ChlL family,1.18.6.1
5YM7,P0ABE7,Belongs to the cytochrome b562 family,
8PP4,P02794,Belongs to the ferritin family,1.16.3.1
2YES,O53706,,
5EFZ,Q0MRG5,Belongs to the AB hydrolase superfamily. Acetyl esterase family,3.1.1.113
2RKL,Q06263,Belongs to the VTA1 family,
6NLU,D0LID5,Belongs to the bacterial microcompartments protein family,
6A32,P16234,Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1/PDGF receptor subfamily,2.7.10.1
5BTB,Q753P9,Belongs to the DXO/Dom3Z family,3.6.1.-
4H94,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1TUA,Q9YE16,,
5PVJ,O95696,,
3S5E,Q16595,Belongs to the frataxin family,1.16.3.1
1AAY,P08046,Belongs to the EGR C2H2-type zinc-finger protein family,
7D4X,P0ABQ4,Belongs to the dihydrofolate reductase family,1.5.1.3
1O9Q,Q9ZIV5,Belongs to the amidase family,
3EKG,C1DMY1,Belongs to the mandelate racemase/muconate lactonizing enzyme family. RhamD subfamily,4.2.1.90
2AU8,P0A7A9,Belongs to the PPase family,3.6.1.1
4JIS,Q8RKI9,Belongs to the IspD/TarI cytidylyltransferase family. TarI subfamily,2.7.7.40
1UV0,Q06141,,
7B55,P35609,Belongs to the alpha-actinin family,
7B55,P11798,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,2.7.11.17
4OD7,B4EZ68,Belongs to the thioredoxin family. DsbA subfamily,
4QQT,P22455,Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily,2.7.10.1
1SDB,P01315,Belongs to the insulin family,
4I5R,Q9C1S9,Belongs to the glycosyl hydrolase 6 (cellulase A) family,3.2.1.91
4I5R,P07987,Belongs to the glycosyl hydrolase 6 (cellulase B) family,3.2.1.91
4I5R,Q5G2D4,Belongs to the glycosyl hydrolase family 6,3.2.1.-
2OP2,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
1VDT,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3G7X,O77421,Belongs to the calycin superfamily. Histamine-binding salivary protein family,
1MR8,P05109,Belongs to the S-100 family,
3VFS,P01889,,
3VFS,P61769,Belongs to the beta-2-microglobulin family,
3G0J,Q86U86,,
2P4F,Q6FJS2,Belongs to the ATP11 family,
6MBB,Q16548,Belongs to the Bcl-2 family,
2RI6,P47229,Belongs to the AB hydrolase superfamily. BphD family,3.7.1.8
1GFU,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2YQ7,Q07817,Belongs to the Bcl-2 family,
2YQ7,O43521,Belongs to the Bcl-2 family,
5PT4,O95696,,
2GZ4,Q7D028,,
1GTO,P03051,,
5M0Y,A3DF10,,
5M0Y,A3DGE8,,
7NYM,Q9UQF2,Belongs to the JIP scaffold family,
3SK9,Q53VY2,,3.1.-.-; 3.6.4.-
6H4L,Q8WZ42,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,2.7.11.1
3F4S,Q73GA4,Belongs to the thioredoxin family. DsbA subfamily,
5Q8H,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1X7Q,P04439,Belongs to the MHC class I family,
1X7Q,P61769,Belongs to the beta-2-microglobulin family,
1X7Q,P59595,Belongs to the betacoronavirus nucleocapsid protein family,
1SW4,O29280,,
7OE4,P25440,Belongs to the BET family,
4ORX,P41222,Belongs to the calycin superfamily. Lipocalin family,5.3.99.2
5UXA,O32553,,
6ZVM,Q8GR96,Belongs to the peptidase M27 family,
5JAC,P07798,Belongs to the ferritin family,1.16.3.1
3CZE,Q6UVM5,,
4HCI,A0A6L7H6L8,,
5MAU,B8HNS6,,
6G8U,P0DPK1,Belongs to the peptidase M27 family,
2OIK,Q1GYB6,,
1MKQ,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
6DPM,Q9KEI9,Belongs to the RNase H family,3.1.26.4
8OTB,F8UNI5,,
2OWE,Q53WB3,,
5P5C,P11838,Belongs to the peptidase A1 family,3.4.23.22
5IZT,O50955,,
1MDC,P31417,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
4N7I,O00481,Belongs to the immunoglobulin superfamily. BTN/MOG family,
4GGR,Q89U61,,
3EIX,A0A0H3JM89,Belongs to the bacterial solute-binding protein 8 family,
4H07,P02185,Belongs to the globin family,
1TLD,P00760,Belongs to the peptidase S1 family,3.4.21.4
6H26,G1U7S4,Belongs to the phosphoglycerate mutase family. BPG-dependent PGAM subfamily,5.4.2.11; 5.4.2.4
5Q62,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
4A60,Q0Z7S8,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
3LQY,L7MTK1,,
1NE2,Q9HIL9,,
4GUL,O00625,Belongs to the pirin family,1.13.11.24
3L2A,Q8JPY0,Belongs to the filoviridae polymerase cofactor VP35 family,
6SL6,P04637,Belongs to the p53 family,
1LHL,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1V8U,Q84CU3,Belongs to the Nudix hydrolase family,
3WLA,Q588Z2,Belongs to the peptidase S9A family,3.7.1.7
3LJK,Q5NFC4,Belongs to the GPI family,5.3.1.9
2JLQ,Q2YHF0,,
5AON,Q8IEW2,Belongs to the peroxin-14 family,
5XA5,P90947,Belongs to the vinculin/alpha-catenin family,
5XA5,O44326,Belongs to the beta-catenin family,
4HA3,D9PZ08,Belongs to the glycosyl hydrolase 1 family,
6SZ0,B1ZMF4,,
4XPX,Q60AX2,Belongs to the hemerythrin family,
1T92,P15746,Belongs to the GSP G family,
2OG5,Q9Z4Z5,Belongs to the clavaminate synthase family,1.14.11.39
5R2P,P11838,Belongs to the peptidase A1 family,3.4.23.22
4B2N,Q7X0P3,,
1OAP,P0A912,Belongs to the Pal lipoprotein family,
6DN7,Q96A44,Belongs to the SPSB family,
4FDM,Q5I4I3,,3.1.1.3
6FFL,Q6MNM0,Belongs to the bacterial solute-binding protein 1 family,
5OJH,Q7CPI7,,
6THT,G9BY57,Belongs to the AB hydrolase superfamily,3.1.1.74
2BHY,Q9RX51,Belongs to the glycosyl hydrolase 13 family,3.2.1.141
5HPA,P55734,,
2IPZ,P03069,Belongs to the bZIP family. GCN4 subfamily,
5Y3C,Q804T6,Belongs to the DIXDC1 family,
6TAF,Q6MQY8,,
5RCL,P11838,Belongs to the peptidase A1 family,3.4.23.22
1J3Z,P69905,Belongs to the globin family,
1J3Z,P68871,Belongs to the globin family,
5IQ0,Q4TZQ3,,
4PER,Q5ZIY8,,
4PER,P27043,Belongs to the pancreatic ribonuclease family,3.1.27.-
6EJU,Q65J43,,
2J21,P04637,Belongs to the p53 family,
5PY1,P23497,,
4WMS,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
4WMS,Q07820,Belongs to the Bcl-2 family,
2BOE,P26222,Belongs to the glycosyl hydrolase 6 (cellulase B) family,3.2.1.4
5Z42,O67518,Belongs to the DNA mismatch repair MutL/HexB family,
2X49,P0A1I3,Belongs to the FHIPEP (flagella/HR/invasion proteins export pore) family,
1NSS,Q9ZB17,Belongs to the aldose epimerase family,5.1.3.3
2IWF,P94127,Belongs to the NosZ family,1.7.2.4
5X7L,C0JRY3,,
4H7J,A4PEU6,Belongs to the haloalkane dehalogenase family. Type 2 subfamily,3.8.1.5
5M5V,P49951,Belongs to the clathrin heavy chain family,
5M5V,A4ZNG7,Belongs to the hepatitis delta antigen family,
7QIT,P00766,Belongs to the peptidase S1 family,3.4.21.1
7QIT,P00974,,
1ZV8,P59594,Belongs to the betacoronaviruses spike protein family,
4FB7,P9WFX7,Belongs to the TrpC family,4.1.1.48
2ASN,Q26241,Belongs to the calycin superfamily. Nitrophorin family,
5OH2,A4TVL0,,
5QUO,O74036,Belongs to the eukaryotic RecA-like protein family,
2OUV,Q9Y233,Belongs to the cyclic nucleotide phosphodiesterase family,3.1.4.17
7M5A,Q16611,Belongs to the Bcl-2 family,
7M5A,P55957,,
3MDS,P61503,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
1FHM,P00268,Belongs to the rubredoxin family,
7BKU,P11838,Belongs to the peptidase A1 family,3.4.23.22
1KX9,Q9NG96,,
3KZ8,P04637,Belongs to the p53 family,
5IQW,G3XD33,,
2HTA,Q8ZPV9,Belongs to the glucose-6-phosphate 1-epimerase family,5.1.3.15
6DUJ,P99999,Belongs to the cytochrome c family,
1N93,P0C796,,
451C,P00099,,
1FVG,P54149,Belongs to the MsrA Met sulfoxide reductase family,1.8.4.11
1TXO,P9WHW5,,3.1.3.16
5PYX,P23497,,
3RM1,P02638,Belongs to the S-100 family,
3RM1,Q5E997,Belongs to the F-actin-capping protein alpha subunit family,
2YAS,P52704,Belongs to the AB hydrolase superfamily. Hydroxynitrile lyase family,4.1.2.47
5PDP,Q9UIF8,Belongs to the WAL family,
3S8S,O15047,Belongs to the class V-like SAM-binding methyltransferase superfamily,2.1.1.364
4NFV,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2C8Q,P01308,Belongs to the insulin family,
1YS3,P9WGK7,,2.7.13.3
7GT3,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
3BNC,P08170,Belongs to the lipoxygenase family,1.13.11.12
3CA8,P34209,,
6RPD,A0A0W8ATM9,Belongs to the DyP-type peroxidase family,
2WW8,A0A0H2UNT6,Belongs to the serine-aspartate repeat-containing protein (SDr) family,
5NZ5,D0VWZ1,,
2WB0,P03265,Belongs to the adenoviridae E2A DNA-binding protein family,
5X56,Q9LR64,Belongs to the Psb27 family,
3ENU,Q2YAE2,,
3Q90,Q13283,,3.6.4.12; 3.6.4.13
6J4B,X2D812,,
6CYS,G0RQS7,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
1CM3,P0AA04,Belongs to the HPr family,
5WEC,A0A0H3AJJ8,,
1SGP,P00777,Belongs to the peptidase S1 family,3.4.21.81
1SGP,P68390,,
7AHP,A0A0K8RCY5,Belongs to the serpin family,
1JU4,Q9L9D7,Belongs to the CocE/NonD hydrolase family,3.1.1.84
1LMI,P9WIP1,,
6FRW,B2VCC3,Belongs to the glycosyl hydrolase 68 family,2.4.1.10
5OAK,Q0KHR3,Belongs to the PAR3 family,
1MN8,P03332,,
6U66,Q15848,,
7GTZ,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
2P0F,Q9BRR9,,
5VWF,P01889,,
5VWF,P61769,Belongs to the beta-2-microglobulin family,
1DWK,P00816,Belongs to the cyanase family,4.2.1.104
3DYJ,P26039,,
1GBU,P69905,Belongs to the globin family,
1GBU,P68871,Belongs to the globin family,
5PP4,O95696,,
3RFJ,Q6E4K6,,
1G8E,P0A8S9,Belongs to the FlhD family,
5GKM,Q94C10,,
6LIY,Q9FI46,Belongs to the CpcT/CpeT biliprotein lyase family,4.-.-.-
3WV6,O00182,,
4EMS,A6XNE6,,
4F68,O76242,Belongs to the globin family,
1RRE,P0A9M0,Belongs to the peptidase S16 family,3.4.21.53
2WPQ,Q8ZL64,Belongs to the autotransporter-2 (AT-2) (TC 1.B.40) family,
1GPO,P01868,,
1GPO,P01837,,
4UE3,P0ACD8,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.99.6
4UE3,P69739,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.99.6
5CQX,P0AE70,Belongs to the PemK/MazF family,3.1.27.-
5CQX,P0AE72,Belongs to the PemI family,
6WYI,O53561,Belongs to the enoyl-CoA hydratase/isomerase family,4.2.1.-
1LK3,P22301,Belongs to the IL-10 family,
1LK3,P20759,,
1LK3,P01835,,
4CN0,Q8IVF2,,
5Q4H,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1YZF,Q839J6,,
1NXP,A0A0H2UQ68,,
3AP6,O00214,,
5XFY,A0A0K8P6T7,Belongs to the AB hydrolase superfamily,3.1.1.101
3CHK,Q9NFS4,Belongs to the annexin family,
3D10,P04271,Belongs to the S-100 family,
5QLR,P0AEG4,Belongs to the thioredoxin family. DsbA subfamily,
2OLY,P01308,Belongs to the insulin family,
2FE5,Q92796,Belongs to the MAGUK family,
5UTA,P02185,Belongs to the globin family,
1CTF,P0A7K2,Belongs to the bacterial ribosomal protein bL12 family,
3K91,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
3CVE,Q9Z214,Belongs to the Homer family,
3OK0,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
7BBX,Q5F6E9,Belongs to the transaldolase family. Type 2 subfamily,2.2.1.2
1T7H,P05305,Belongs to the endothelin/sarafotoxin family,
8R8J,P68082,Belongs to the globin family,
5P8Q,P11838,Belongs to the peptidase A1 family,3.4.23.22
1MGQ,O26745,Belongs to the snRNP Sm proteins family,
1W7Z,P12071,Belongs to the protease inhibitor I7 (squash-type serine protease inhibitor) family,
6ONC,Q72A99,,1.2.7.4
2HKD,D0VWU8,,
1RB5,P03069,Belongs to the bZIP family. GCN4 subfamily,
6E52,P03069,Belongs to the bZIP family. GCN4 subfamily,
2W61,Q06135,Belongs to the glycosyl hydrolase 72 family,2.4.1.-
5P1C,P11838,Belongs to the peptidase A1 family,3.4.23.22
5TCB,Q9HZE4,,
4REH,B5THI3,,
4GCR,P02526,Belongs to the beta/gamma-crystallin family,
4G9B,P77366,Belongs to the HAD-like hydrolase superfamily. CbbY/CbbZ/Gph/YieH family,5.4.2.6
2J7U,Q6YMS4,,
3WOO,V5YM14,Belongs to the peptidase S46 family,3.4.14.-
3WOO,P01019,Belongs to the serpin family,
2GOM,P68799,,
5UD1,P56109,Belongs to the class II fructose-bisphosphate aldolase family,4.1.2.13
6Q3F,P24941,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,2.7.11.22
6F1P,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1JL7,P02216,Belongs to the globin family,
6T3X,P16791,Belongs to the herpesviridae NEC2 protein family,
6T3X,P16794,Belongs to the herpesviridae NEC1 protein family,
5D3V,Q8TCU6,,
3S6B,Q8IJP2,Belongs to the peptidase M24A family. Methionine aminopeptidase type 1 subfamily,3.4.11.18
1QT8,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
7LOC,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1SLM,P08254,Belongs to the peptidase M10A family,3.4.24.17
6R45,A0A0D5X2Y8,,
7MB8,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
7OOU,Q81HW2,,
2OC5,Q7V6D4,Belongs to the aldehyde decarbonylase family,4.1.99.5
4QBC,P05230,Belongs to the heparin-binding growth factors family,
4FUU,Q8A4P9,,
5OFH,P25006,Belongs to the multicopper oxidase family,1.7.2.1
4XJD,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3HJB,Q9KUY4,Belongs to the GPI family,5.3.1.9
4MHN,B7QK46,Belongs to the glutaminyl-peptide cyclotransferase family,2.3.2.5
3G8U,P06536,Belongs to the nuclear hormone receptor family. NR3 subfamily,
3KJT,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
4N13,O51233,Belongs to the PstS family,
3L39,Q89YU3,Belongs to the UPF0111 family,
3PE8,A0QVP0,Belongs to the enoyl-CoA hydratase/isomerase family,
4U94,A1TH50,Belongs to the aminoglycoside phosphotransferase family,2.7.1.175
5PG7,Q9UIF8,Belongs to the WAL family,
7N4F,P0ABE7,Belongs to the cytochrome b562 family,
5Q2Y,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
6Q10,B2HM00,,
4LLW,S6B291,,
4LLW,P0DOY2,,
1LB6,Q9Y4K3,Belongs to the TNF receptor-associated factor family. A subfamily,2.3.2.27
1LB6,P25942,,
7F0N,P62979,,
6SVW,P00760,Belongs to the peptidase S1 family,3.4.21.4
2A7D,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2D7V,Q9KMK9,,
4QU5,P42574,Belongs to the peptidase C14A family,3.4.22.56
4EKB,P02883,Belongs to the thaumatin family,
3K04,Q81HW2,,
5XKV,P02185,Belongs to the globin family,
